Filename	Samplename	Dataset	Laboratory	Data	Data_collector	Instrument	Instrument_id	Column	Experiment	Sample_type	Sample_type2	Sample_position	Triplicate_number	Sequence_number	Injection_volume	Proportion_Fecal_1	Proportion_Fecal_2	Proportion_Tomato	Proportion_NIST_1950_SRM	Proportions	Batch	Species1	Species2	Species1_metadata	Species1_metadata2	Species2_metadata	Sex	Ionisation_mode	Extraction	Sample_preparation	Method	qTOF_LCmethod
QEC18_Blank_resusp_20181226235330.mzML	QE_C18_BLANK_inj_1	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Blank	blank_solvent	BLANK	1	2	10	0	0	0	0	0_0_0_0	1	n/a					n/a	positive	Aqueous_methanol		1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_Blank_resusp_20181227024429.mzML	QE_C18_BLANK_inj_2	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Blank	blank_solvent	BLANK	2	12	10	0	0	0	0	0_0_0_0	1	n/a					n/a	positive	Aqueous_methanol		1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_Blank_resusp_20181227051626.mzML	QE_C18_BLANK_inj_3	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Blank	blank_solvent	BLANK	3	21	10	0	0	0	0	0_0_0_0	1	n/a					n/a	positive	Aqueous_methanol		1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_Blank_resusp_20181227072924.mzML	QE_C18_BLANK_inj_4	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Blank	blank_solvent	BLANK	4	29	10	0	0	0	0	0_0_0_0	1	n/a					n/a	positive	Aqueous_methanol		1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_Blank_resusp_20181227100129.mzML	QE_C18_BLANK_inj_5	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Blank	blank_solvent	BLANK	5	36	10	0	0	0	0	0_0_0_0	1	n/a					n/a	positive	Aqueous_methanol		1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_Blank_resusp_20181227154841.mzML	QE_C18_BLANK_inj_6	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Blank	blank_solvent	BLANK	6	45	10	0	0	0	0	0_0_0_0	1	n/a					n/a	positive	Aqueous_methanol		1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_Blank_resusp_20181227180406.mzML	QE_C18_BLANK_inj_7	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Blank	blank_solvent	BLANK	7	61	10	0	0	0	0	0_0_0_0	1	n/a					n/a	positive	Aqueous_methanol		1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_Blank_resusp_20181227200515.mzML	QE_C18_BLANK_inj_8	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Blank	blank_solvent	BLANK	8	68	10	0	0	0	0	0_0_0_0	1	n/a					n/a	positive	Aqueous_methanol		1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_Blank_resusp_20181227235313.mzML	QE_C18_BLANK_inj_9	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Blank	blank_solvent	BLANK	9	73	10	0	0	0	0	0_0_0_0	1	n/a					n/a	positive	Aqueous_methanol		1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_Blank_resusp_20181228030323.mzML	QE_C18_BLANK_inj_10	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Blank	blank_solvent	BLANK	10	85	10	0	0	0	0	0_0_0_0	1	n/a					n/a	positive	Aqueous_methanol		1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_blank_SPE_20181227092326.mzML	QE_C18_blank SPE_inj_2	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Blank	blank_SPE	A5	2	43	10	0	0	0	0	0_0_0_0	1	n/a					n/a	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
