row ID,row m/z,row retention time,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,QEC18_Blank_resusp_20181227024429.mzML Peak area,QEC18_Blank_resusp_20181227100129.mzML Peak area,QEC18_Blank_resusp_20181226235330.mzML Peak area,QEC18_Blank_resusp_20181227200515.mzML Peak area,QEC18_Blank_resusp_20181227072924.mzML Peak area,QEC18_Blank_resusp_20181227051626.mzML Peak area,QEC18_Blank_resusp_20181227180406.mzML Peak area,QEC18_Blank_resusp_20181227154841.mzML Peak area,QEC18_Blank_resusp_20181228030323.mzML Peak area,QEC18_Blank_resusp_20181227235313.mzML Peak area,QEC18_F1-1_F2-1.mzML Peak area,QEC18_F1-1_F2-1_20181227143118.mzML Peak area,QEC18_F1-1_F2-1_20181227084526.mzML Peak area,QEC18_F1-1_F2-1_NIST-2_To-1.mzML Peak area,QEC18_F1-1_F2-1_NIST-1_To-2.mzML Peak area,QEC18_F1-1_F2-1_NIST-1_To-2_20181227113714.mzML Peak area,QEC18_F1-1_F2-1_NIST-1_To-1_20181227125436.mzML Peak area,QEC18_F1-1_F2-1_NIST-1_To-1_20181227135238.mzML Peak area,QEC18_F1-1_F2-1_NIST-1_To-1.mzML Peak area,QEC18_F1-1_F2-1_NIST-1_To-2_20181227184249.mzML Peak area,QEC18_F1-1_F2-1_NIST-2_To-1_20181227152919.mzML Peak area,QEC18_F1-1_NIST-3_20181227133316.mzML Peak area,QEC18_F1-1_NIST-3_20181228012817.mzML Peak area,QEC18_F1-1_NIST-3.mzML Peak area,QEC18_F1-1_F2-3.mzML Peak area,QEC18_F1-1_F2-2_NIST-1_To-1_20181227065123.mzML Peak area,QEC18_F1-1_F2-2_NIST-1_To-1.mzML Peak area,QEC18_F1-1_F2-1_NIST-2_To-1_20181227225613.mzML Peak area,QEC18_F1-1_To-1.mzML Peak area,QEC18_F1-1_To-3.mzML Peak area,QEC18_F1-1_To-1_20181227123513.mzML Peak area,QEC18_F1-1_F2-2_NIST-1_To-1_20181228034123.mzML Peak area,QEC18_F1-1_To-1_20181227043825.mzML Peak area,QEC18_F1-1_F2-3_20181227012831.mzML Peak area,QEC18_F1-1_NIST-1_20181227210213.mzML Peak area,QEC18_F1-1_NIST-1.mzML Peak area,QEC18_F1-2_F2-1_NIST-1_To-1.mzML Peak area,QEC18_F1-1_To-3_20181227174446.mzML Peak area,QEC18_F1-1_NIST-1_20181227215913.mzML Peak area,QEC18_F1-1_To-3_20181227223713.mzML Peak area,QEC18_F1-2_F2-1_NIST-1_To-1_20181228020619.mzML Peak area,QEC18_F1-1_F2-3_20181227071023.mzML Peak area,QEC18_F1-3_F2-1_20181227190209.mzML Peak area,QEC18_F1-3_F2-1.mzML Peak area,QEC18_F2-1_NIST-3_20181227103932.mzML Peak area,QEC18_F1-3_To-1_20181228024423.mzML Peak area,QEC18_F1-2_F2-1_NIST-1_To-1_20181228022521.mzML Peak area,QEC18_F2-1_NIST-1_20181227212113.mzML Peak area,QEC18_F2-1_NIST-3.mzML Peak area,QEC18_F2-1_NIST-1.mzML Peak area,QEC18_F1-3_F2-1_20181227131356.mzML Peak area,QEC18_F2-1_NIST-1_20181227233413.mzML Peak area,QEC18_F2-1_To-1.mzML Peak area,QEC18_F1-3_NIST-1.mzML Peak area,QEC18_F2-1_NIST-3_20181227145038.mzML Peak area,QEC18_F2-1_To-1_20181227150959.mzML Peak area,QEC18_F2-1_To-3_20181226223728.mzML Peak area,QEC18_F1-3_To-1.mzML Peak area,QEC18_F1-3_NIST-1_20181227045725.mzML Peak area,QEC18_F2-1_To-3.mzML Peak area,QEC18_F1-3_NIST-1_20181227170603.mzML Peak area,QEC18_F2-3_To-1_20181227082626.mzML Peak area,QEC18_F2-1_To-3_20181227041925.mzML Peak area,QEC18_F2-3_To-1.mzML Peak area,QEC18_F2-1_To-1_20181228014719.mzML Peak area,QEC18_F1.mzML Peak area,QEC18_F2-3_NIST-1.mzML Peak area,QEC18_NIST.mzML Peak area,QEC18_F2-3_NIST-1_20181227162723.mzML Peak area,QEC18_Qcmix_begin.mzML Peak area,QEC18_NIST_20181227102029.mzML Peak area,QEC18_NIST_20181227182328.mzML Peak area,QEC18_To-1_NIST-1.mzML Peak area,QEC18_F1_20181227030329.mzML Peak area,QEC18_F2-3_To-1_20181227164643.mzML Peak area,QEC18_To-3_NIST-1.mzML Peak area,QEC18_F2-3_NIST-1_20181228005015.mzML Peak area,QEC18_F1-3_To-1_20181228003115.mzML Peak area,QEC18_F2.mzML Peak area,QEC18_To-3_NIST-1_20181227074824.mzML Peak area,QEC18_To-1_NIST-1_20181227111754.mzML Peak area,QEC18_F1_20181228032223.mzML Peak area,QEC18_F2_20181228001213.mzML Peak area,QEC18_To-1_NIST-1_20181228010915.mzML Peak area,QEC18_To-1_NIST-3_20181227214013.mzML Peak area,QEC18_blank_SPE_20181227092326.mzML Peak area,QEC18_blank_SPE.mzML Peak area,QEC18_To-1_NIST-3_20181227172525.mzML Peak area,QEC18_blank_SPE_20181227221813.mzML Peak area,QEC18_F2_20181227121553.mzML Peak area,QEC18_To_20181227231513.mzML Peak area,QEC18_To-3_NIST-1_20181227160801.mzML Peak area,QEC18_To_20181227204313.mzML Peak area,QEC18_To-1_NIST-3.mzML Peak area,QEC18_Qcmix_end.mzML Peak area,QEC18_To.mzML Peak area,QEC18_QCmix_no_exclusion.mzML Peak area,QEC18_Qcmix_middle.mzML Peak area,QEC18_Qcmix_end_20181228041923.mzML Peak area,
1,338.34190084804334,13.468121474226805,316,572,[M+NH4]+,,1,48,320.3080,8.739520544480696E8,1.6722326040939386E9,3.7305640966880244E8,1.2051246573330183E9,1.2502865138275063E9,1.250107244936213E9,8.856409546062691E8,1.6947072463710084E9,1.1521522301010053E9,1.1744622436098485E9,2.2334057562204003E8,4.0183119213249624E8,5.235571945430433E8,3.4320336196397257E8,4.140843396932735E8,4.015974870081761E8,7.881950619556569E8,8.837653362033519E8,5.1506815963905776E8,4.013332958956676E8,3.663516146516634E8,2.685869577677074E8,2.881264515579596E8,2.015837120815928E8,2.598756425658926E8,4.2964417044459397E8,4.03434961643519E8,4.1892590047545683E8,3.3809313327121013E8,2.5356223966333383E8,3.3524533708557755E8,6.623457715029699E8,3.6974873451740956E8,3.090315113151029E8,2.375348940117437E8,2.4317020612381816E8,3.814204528951527E8,6.300337525159161E8,2.3933778249073955E8,7.777802873105747E8,3.430222956324477E8,3.11573157276078E8,1.2316120536594088E9,3.651945506959386E8,3.0551699676548946E8,4.5776261648608977E8,3.765023301122238E8,2.7610290625769573E8,1.9997623260322344E8,2.8674979823668396E8,7.888207996621889E8,3.6757967244594234E8,3.5392870601638055E8,2.753079904090743E8,8.352863088716837E8,2.97692315309767E8,2.987630923290713E9,4.278673625919553E8,4.24240969993612E8,5.534171890217608E8,5.995834265720656E8,1.4023594974925077E9,1.8311974317238393E9,3.863869431753094E8,4.5512094120741296E8,2.435834228697078E8,2.769189281483003E8,2.578193112174367E8,2.3515324514147425E8,2.4183387164755192E8,2.785622528773625E8,2.755041108290754E8,2.5220987521315092E8,2.6928018489949054E8,1.2649947137288127E9,4.188503097935406E8,2.718475249581373E8,4.3071549994111246E8,2.69412817354457E8,6.297662931379908E8,3.790113084898351E8,2.6646646353605378E8,7.841951206718382E8,3.781362894012613E8,3.6200351571010375E8,1.2291711927564821E9,3.735371369309397E8,3.5140971603359014E8,1.5836639615925398E9,1.4158400355095487E9,3.017765428883643E8,5.288969648330447E8,3.475615105750446E7,6.229707081802382E8,0,0,8.93293559783302E8,6.612872620751187E8,8.658742829624568E8,
2,278.19050817459276,3.4857570666666677,,,,,,,,1.4815790511839014E8,3.2150602320784515E8,1.4667505506373549E8,3.4215545891329676E8,2.5477717085548905E8,2.454641493010519E8,2.1898284044208828E8,3.779046341899038E8,3.1013641891138214E8,3.1166156599822545E8,1.6679048193021901E7,1.3308055477836055E8,2.0894926269971603E8,4.5552668042323065E8,4.8797155963797283E8,4.992192614081381E8,4.647158484819521E8,4.5126252666616166E8,4.9446167423412776E8,4.9485648047479E8,4.779429696708769E8,1.9691742047216374E8,3.784081578036505E8,8.184112728032067E7,3.2528955019246745E8,4.29972990529471E8,4.993870205363247E8,4.6203877872169346E8,2.0086292542089516E8,1.9821529687135518E7,1.8484688428566113E8,4.5760915171083903E8,2.6757331571373206E8,4.138726089402309E8,3.396659016342204E8,3.3609034466042674E8,3.369306984259137E8,4.953315959827268E8,4.120690348251463E8,4.746474725757097E8,3.7275008932416993E8,4.426301984130827E8,2.6845806891406906E8,3.6575613015789795E8,4.5095939297251225E8,2.6448096414388004E8,4.8629879390078336E8,4.401534212264724E8,3.0806316278869938E7,4.792051546707167E8,3.6991372443801117E8,4.4418783354679763E8,3.6106389635987437E8,4.277776532451996E8,4.6917730717380565E8,3.1068478822833204E8,5.41776756512963E8,4.5034403021035933E8,4.510044624577321E8,2.4845733782674876E8,4.4280844189101446E8,3.014706606394887E8,5.293077022462118E8,3.5553147804906434E8,4.7192077278965616E8,4.097056057681651E8,4.5407813070731103E8,5.033514630531954E8,4.133305200849233E8,8.266135622079685E7,5.191493781364735E8,5.108379795850086E8,5.742102490774001E8,4.246224430289559E8,4.22289105526704E8,2.189901647110976E8,4.38016116097047E8,4.524646488548525E8,4.3421602621528023E8,5.143362597806614E8,5.453709851896992E8,4.1082949065092874E8,4.1036772015376395E8,5.2705085618294275E8,5.193424420465384E8,4.9710051655357754E8,5.820751700597857E8,5.109649192519451E8,5.719546232266816E8,3.980772801501912E8,1.8718175271493188E8,5.331164314595E8,4.026202711511616E8,4.316961167762843E8,4.68028590470914E8,4.8594405382451946E8,4.6560850528074515E8,4.635068873704592E8,4.6140429565201175E8,
3,702.2144548514867,14.134765958333334,,,,,,,,9.837010478420736E7,2.6218856237943977E8,4.9480877987488255E7,0,1.9129269375932515E8,1.6699468789193964E8,1.1332025889471528E8,2.6305068729592687E8,2.1867514596463555E8,0,0,0,2.5738960465217106E7,2.6909646375088155E7,2.3355073125617627E7,3.5730495551992685E7,0,0,1.2045003735000113E8,3.855150175658216E7,2.5086654355552465E7,0,0,0,0,1.06281783326441E8,3.7777000882293984E7,0,1.8457557875039082E7,0,0,5.737584121892949E7,2.775376549967711E7,0,3.515908252930985E7,0,2.4360459342131287E7,5.075803260788201E7,0,0,0,5.060609010831671E7,0,2.241148520889317E7,5.931979792500392E7,8.296984095647362E7,6.2407756359599166E7,0,0,1.5470364570456745E7,0,0,2.7050608539882742E7,0,0,0,0,1.9019460536616787E7,5.553111883572529E7,0,4.485438913827034E7,7.120215059480749E7,1.527257128748986E8,0,0,0,2.763385723880984E7,2.428517848833212E7,0,0,4.250788589111934E7,1577062.6525395995,0,7.12487866335289E7,0,0,0,0,0,6.188417651079412E7,3.37726816953751E7,7.725625174029297E7,0,0,0,1.1300822234524448E8,0,0,0,0,0,1060375.1325600161,0,0,0,2.075477090830532E7,1.1975166287594633E8,0,1.3678513693683562E8,
4,663.4531762806099,13.91829834375,,,,,,,,1.37429168987576E8,2.485115400460717E8,0,8.136892159375545E7,4.213947122199822E8,2.5018070480491686E8,0,2.1854109643908262E8,0,0,0,0,6.197113308497685E8,7.190737556075935E8,0,0,0,0,0,2.640112929163191E8,0,0,0,0,0,7.791318520949047E8,0,0,5134317.059999894,0,0,0,0,0,0,3.179686989506953E7,0,4.318710621420467E8,0,0,0,8.34921700129736E8,4.01960524286969E8,0,0,7.08246347684981E7,0,0,0,5.702063551869373E8,0,0,2.35572829176582E8,0,1.1929051559422486E8,0,0,7.174445160085926E8,0,0,1.4064790076429668E8,8.86994053165659E8,0,0,0,0,6.058385019926308E8,0,3.2827159880101454E8,1.6842107290047485E8,0,0,0,4088858.8899298687,0,2.7089340526049558E7,0,0,0,1.3066042274763812E8,1.1398306205525967E8,0,0,0,0,0,0,0,0,0,0,1.1359603760601047E8,0,0,0,2.869508412562526E8,0,7.738817881740053E7,0,
5,663.4512730502589,13.978043071428571,,,,,,,,2.6280988547877204E7,2.3047626861567307E8,0,0,2.817894430527724E8,1.024043315412023E8,0,0,2.307253731926947E8,0,0,0,0,0,3.2955538622956467E8,0,0,0,0,0,0,0,0,0,0,7.575139463138989E7,0,0,0,4.325879295767678E7,0,0,8.004664713939143E8,0,0,0,1.8282699418391883E8,0,0,0,4.906136035409896E7,0,0,2.4860309103122078E7,2.1428804730512235E8,1.2771121006242207E8,0,0,0,6.616082904080963E7,0,0,1.70211593584052E8,0,0,0,0,0,6.939786409419428E8,0,0,0,2.3034431522852862E8,0,4.761352541813949E7,0,0,0,0,0,2.0108960099889344E8,0,0,1.3310535884160614E7,0,0,0,0,0,1.7613279891346478E8,2.6450306488871968E8,6.711811970667332E7,0,0,0,6.188760556425202E8,0,0,0,0,0,0,0,0,0,4.859554859718836E8,5.577216123607978E8,0,6.157941468998055E8,
6,776.2332530892206,15.038541337349402,347,,,,,,,7.11476550216131E7,1.50423248613672E8,4.121041569688869E7,1.3977507221620175E8,4.9069379050474E7,1.1028071565888087E8,1.2605661759439088E8,1.851506496413567E8,1.4553216224648792E8,1.3221816628791447E8,0,1.4064355563097283E7,0,2.434751216559038E7,2.242665818638448E7,2.5811392505955346E7,6.5328963205629095E7,7.415389994707769E7,7.246588358772998E7,3.716327806273611E7,2.843472210754024E7,3.395534702305814E7,6.652558646421793E7,0,2.5278919092177246E7,5.3052519039681435E7,3.3437146028582808E7,3.5025516241938464E7,0,0,0,4.58934754815137E7,0,4.781258998307726E7,2.3975643172792424E7,0,2.312616044615044E7,3.896583612668493E7,3.238910196995728E7,6.738437725197648E7,3.760547748045493E7,3.904292729354696E7,2.6644358659436375E7,2.090165096132795E7,5.691287060290325E7,4.5967820014471054E7,4.332296487698842E7,3.627097556750097E7,0,1.2924559947103485E7,3.1675730119723152E7,4.6318151930524044E7,2.4174595503520235E7,0,5.8441571087888606E7,2.39483334452597E7,4.971562773522549E7,0,3.3275089842054453E7,0,3.9051736580950186E7,3.692189776936804E7,8.345531307022855E7,2.9426073207917795E7,4.919611122620345E7,2.2567629415394474E7,2.4447527763711344E7,2.003155067641051E7,3.134679967391109E7,1.5921900756853424E7,3.913711215618762E7,4.898706268073078E7,2.7751859870872088E7,4.034339639287447E7,6.191034821707862E7,0,6.494393378334205E7,4.077138184732011E7,2.457243628918524E7,4.592957966492838E7,3.2547907184567E7,4.603691633409495E7,4.158827465570215E7,5.1936526498214915E7,3.984333235210327E7,6.5933979232422814E7,4.020836430371885E7,4.206247493735609E7,7.888224730621079E7,4.163800908441337E7,0,4.6865595455924556E7,2.9542039151125528E7,0,8.307826431801768E7,0,9.40745812822509E7,5.269908186622832E7,9.057530723886202E7,
7,663.4507011624703,13.974681428571428,,,,,,,,8.224196852994037E7,0,0,0,0,1.7376438083723778E8,0,0,1.496569553709901E8,0,0,0,0,0,2.5647652408533105E8,4.176232608756906E8,0,0,0,0,0,0,0,0,0,0,0,0,2.2844858659913927E8,2.2955338780378157E8,0,7.499692415772995E8,0,0,0,0,1.0637768505156156E8,0,0,0,1.8233774748192114E8,0,0,1.860393203230237E8,2.9108024552616096E8,3.1067078971577895E8,5.490407745096384E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.864379646008836E8,0,2.804712833260185E8,0,0,6.716669844423585E8,0,0,0,0,0,1.8248575686337402E8,0,0,0,0,0,0,2.6893304703928125E8,5.9673078573538736E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2718162470303927E8,0,0,
8,274.27430594776956,4.486801738383839,,,,,,,,1.5559857386649534E8,1.6005707594421715E8,1.4943430224649397E8,1.43242272462283E8,1.5294513733015224E8,1.5681273119354054E8,1.6375456455678287E8,1.611992730241673E8,1.566389532949025E8,1.5769102441301513E8,1.4804469984350052E8,1.4160651499667865E8,1.2685154264201117E8,1.3499705635796756E8,1.4356200743358746E8,1.4519162640978995E8,1.4069098856950796E8,1.37932967413891E8,1.1638936084834944E8,1.4370472311174047E8,1.381185374013215E8,1.1071666290951236E8,1.3231100816720442E8,1.445278551568153E8,1.1522966724159537E8,1.2685726775445926E8,1.1909971606572554E8,1.2459150783132058E8,1.409070703870395E8,1.5304987025073364E8,1.5332292401545078E8,1.2213844324219564E8,1.482023252791508E8,1.031305016482734E8,1.2339783008714226E8,1.2908254997699593E8,1.253644702137867E8,1.5775603149695325E8,1.2348001831035276E8,1.4257138449018374E8,1.29714686412543E8,1.1444470902687858E8,1.3526831982234997E8,1.2490051215449427E8,1.3726099313535148E8,1.4320351757360938E8,1.313712487543849E8,1.150623742531297E8,1.470983991883196E8,1.2202962666585934E8,1.3115034947707824E8,1.2187621921308187E8,1.3046086814661577E8,1.2448210239371318E8,1.406879567531468E8,1.3946629422939208E8,1.3297009514237207E8,1.3100017863060693E8,1.3025204797045036E8,1.3551484447930503E8,1.384104769706262E8,1.1993368886511207E8,1.4000595782428724E8,1.1581428555137722E8,1.209520094837499E8,1.2148012852473938E8,1.0149618273289984E8,1.7265081663483426E8,1.1972606089280756E8,1.3809301546008694E8,1.6250018284382495E8,1.721805506757487E8,1.6464711874573556E8,1.3053471893667518E8,1.2183165260019484E8,1.5951817078954792E8,1.013495353411929E8,1.2719435676544912E8,9.268680653381477E7,1.6624535484453434E8,1.7967319024120995E8,1.2891401735477306E8,1.0516967868937106E8,1.5449412240447944E8,1.5326005103704196E8,1.562951831406241E8,1.461623206723336E8,1.8300674485620058E8,1.5399255757917625E8,1.0956650332350664E8,1.5295098996268255E8,1.7815339348916605E8,1.601085132201768E8,1.7269599368719977E8,1.3115670972857337E8,1.7170016510299745E8,1.3141256087646869E8,1.4228246798776916E8,1.2965267304666427E8,
9,685.4362541603693,13.986209999999998,,,,,,,,1.2101861704665159E8,1.0446426115988636E8,3.0671432581620045E7,3.635381381843998E7,2.2665344776825225E8,4.683510201654112E7,6.510952460618187E7,5008002.989617064,0,0,0,0,1.6487629228966853E8,3.477732125685065E7,0,0,0,0,8.619341088391896E7,3.734048277042773E7,0,0,0,1029444.1908741476,0,5.951591957318943E7,0,0,4.66864121766126E7,5.192453683221144E7,0,0,5.535251803844851E7,0,0,0,6.63665738918299E7,0,0,0,0,2.4623706160471016E8,0,0,0,0,0,0,0,2.779939041298251E8,0,0,2.7095960026530474E7,0,0,0,0,3.646857525107843E7,2.1084691605298257E8,0,0,5.251370891639985E7,4.8368654600317314E7,0,0,0,2.317713847539026E8,1.4728422712973818E8,0,0,1.6853594094340798E8,0,0,0,0,0,0,0,0,2.582470146254966E7,0,0,0,0,0,1.7098275966437316E8,0,0,0,0,0,0,0,0,0,4.265396269726577E7,0,0,0,
10,685.4341719278092,13.970968270270275,,,,,,,,1.1764785700696343E8,0,1.8157542849253893E8,0,1.0621129023740861E8,1.3701148544147116E8,0,5.317800479682028E7,1.4416989098634058E8,0,7.18000638989091E7,0,0,1.0509506028734577E8,6.323140713642014E7,4.8149679171725325E7,3.629983985490739E7,4.4661362174550004E7,7.960708036611038E7,0,0,6.618569703377925E7,0,1036977.7771799843,0,1.377001308076513E7,1.5356966257004175E8,0,0,1.0370337076631895E8,0,7.721897019207181E7,7.715204151958507E7,7.702976055423011E7,0,0,0,0,0,0,6.76608504395705E7,0,0,2.564483354270659E8,1.2693589048556429E8,1.57902314503419E8,2.0708220350519378E7,0,0,0,0,0,5.5705189927746825E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0483879119412187E8,0,0,0,0,0,9.257375028083384E7,0,3.777984543999055E7,1.380372556279281E8,0,0,0,8.594291744036256E7,5.3670499129325815E7,0,0,0,1.6420502213297647E8,0,0,0,0,0,0,0,0,0,0,1.2971882148574509E8,9.301514138031054E7,2.011876210772662E8,
