row ID,row m/z,row retention time,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,C18_Blank_resusp_GD5_01_19472.mzML Peak area,C18_Blank_resusp_GD5_01_19446.mzML Peak area,C18_Blank_resusp_GD5_01_19487.mzML Peak area,C18_Blank_resusp_GD5_01_19431.mzML Peak area,C18_Blank_resusp_GD5_01_19477.mzML Peak area,C18_Blank_resusp_GD5_01_19417.mzML Peak area,C18_Blank_resusp_GD5_01_19408.mzML Peak area,C18_Blank_resusp_GD5_01_19398.mzML Peak area,C18_Blank_resusp_TEMP_GD5_01_19492.mzML Peak area,C18_Blank_resusp_TEMP_GD5_01_19471.mzML Peak area,C18_Blank_resusp_TEMP_GD5_01_19397.mzML Peak area,C18_F1-1_F2-1_NIST-1_To-1noEx_GA6_01_19490.mzML Peak area,C18_F1-1_F2-1_NIST-1_To-1_GA6_01_19491.mzML Peak area,C18_F1-1_F2-1_NIST-1_To-1_GA6_01_19415.mzML Peak area,C18_F1-1_F2-1_NIST-2_To-1_GA7_01_19474.mzML Peak area,C18_F1-1_F2-1_NIST-1_To-1_GA6_01_19447.mzML Peak area,C18_F1-1_F2-1_GB3_01_19411.mzML Peak area,C18_F1-1_F2-1_NIST-2_To-1_GA7_01_19454.mzML Peak area,C18_F1-1_F2-1_NIST-1_To-2_GB1_01_19441.mzML Peak area,C18_F1-1_F2-1_NIST-1_To-2_GB1_01_19462.mzML Peak area,C18_F1-1_F2-1_GB3_01_19451.mzML Peak area,C18_F1-1_F2-1_NIST-2_To-1_GA7_01_19426.mzML Peak area,C18_F1-1_F2-1_GB3_01_19435.mzML Peak area,C18_F1-1_NIST-3_GD1_01_19482.mzML Peak area,C18_F1-1_NIST-3_GD1_01_19449.mzML Peak area,C18_F1-1_F2-2_NIST-1_To-1_GA8_01_19429.mzML Peak area,C18_F1-1_F2-2_NIST-1_To-1_GA8_01_19489.mzML Peak area,C18_F1-1_NIST-1_GC7_01_19466.mzML Peak area,C18_F1-1_F2-1_NIST-1_To-2_GB1_01_19443.mzML Peak area,C18_F1-1_F2-2_NIST-1_To-1_GA8_01_19414.mzML Peak area,C18_F1-1_NIST-1_GC7_01_19469.mzML Peak area,C18_F1-1_NIST-3_GD1_01_19400.mzML Peak area,C18_F1-1_NIST-1_GC7_01_19464.mzML Peak area,C18_F1-1_To-3_GC6_01_19473.mzML Peak area,C18_F1-2_F2-1_NIST-1_To-1_GB2_01_19484.mzML Peak area,C18_F1-1_To-1_GC4_01_19421.mzML Peak area,C18_F1-1_To-3_GC6_01_19460.mzML Peak area,C18_F1-1_F2-3_GB5_01_19430.mzML Peak area,C18_F1-2_F2-1_NIST-1_To-1_GB2_01_19425.mzML Peak area,C18_F1-1_F2-3_GB5_01_19413.mzML Peak area,C18_F2-1_NIST-1_GD2_01_19467.mzML Peak area,C18_F1-1_F2-3_GB5_01_19406.mzML Peak area,C18_F1-2_F2-1_NIST-1_To-1_GB2_01_19485.mzML Peak area,C18_F1-1_To-3_GC6_01_19420.mzML Peak area,C18_F1-1_To-1_GC4_01_19445.mzML Peak area,C18_F1-3_NIST-1_GC8_01_19458.mzML Peak area,C18_F1-1_To-1_GC4_01_19423.mzML Peak area,C18_F1-3_F2-1_GB4_01_19416.mzML Peak area,C18_F1-3_F2-1_GB4_01_19463.mzML Peak area,C18_F1-3_F2-1_GB4_01_19448.mzML Peak area,C18_F2-1_NIST-1_GD2_01_19428.mzML Peak area,C18_F1-3_NIST-1_GC8_01_19407.mzML Peak area,C18_F2-1_NIST-3_GD4_01_19452.mzML Peak area,C18_F2-1_NIST-1_GD2_01_19476.mzML Peak area,C18_F2-1_NIST-3_GD4_01_19440.mzML Peak area,C18_F2-1_NIST-3_GD4_01_19403.mzML Peak area,C18_F1-3_To-1_GC5_01_19479.mzML Peak area,C18_F2-1_To-3_GB8_01_19401.mzML Peak area,C18_F1-3_To-1_GC5_01_19486.mzML Peak area,C18_F2-1_To-1_GB6_01_19483.mzML Peak area,C18_F2-3_NIST-1_GD3_01_19456.mzML Peak area,C18_F1-3_NIST-1_GC8_01_19424.mzML Peak area,C18_F1_GA1_01_19488.mzML Peak area,C18_F2-3_NIST-1_GD3_01_19480.mzML Peak area,C18_NIST_GA4_01_19419.mzML Peak area,C18_NIST_GA4_01_19461.mzML Peak area,C18_NIST_GA4_01_19439.mzML Peak area,C18_F2-1_To-1_GB6_01_19453.mzML Peak area,C18_F1-3_To-1_GC5_01_19433.mzML Peak area,C18_F2-1_To-1_GB6_01_19438.mzML Peak area,C18_F2-3_To-1_GB7_01_19409.mzML Peak area,C18_F2-1_To-3_GB8_01_19404.mzML Peak area,C18_F2-3_To-1_GB7_01_19457.mzML Peak area,C18_F2-3_NIST-1_GD3_01_19436.mzML Peak area,C18_F2-3_To-1_GB7_01_19434.mzML Peak area,C18_F2_GA2_01_19478.mzML Peak area,C18_F1_GA1_01_19418.mzML Peak area,C18_F2-1_To-3_GB8_01_19422.mzML Peak area,C18_To-1_NIST-1_GC1_01_19481.mzML Peak area,C18_To-1_NIST-1_GC1_01_19402.mzML Peak area,C18_To-1_NIST-3_GC3_01_19459.mzML Peak area,C18_blank_SPE_GA5_01_19470.mzML Peak area,C18_To-1_NIST-3_GC3_01_19450.mzML Peak area,C18_To-1_NIST-3_GC3_01_19468.mzML Peak area,C18_blank_SPE_GA5_01_19399.mzML Peak area,C18_To_GA3_01_19427.mzML Peak area,C18_F1_GA1_01_19410.mzML Peak area,C18_To-1_NIST-1_GC1_01_19442.mzML Peak area,C18_F2_GA2_01_19444.mzML Peak area,C18_To-3_NIST-1_GC2_01_19412.mzML Peak area,C18_blank_SPE_GA5_01_19437.mzML Peak area,C18_To_GA3_01_19475.mzML Peak area,C18_To-3_NIST-1_GC2_01_19455.mzML Peak area,C18_To_GA3_01_19465.mzML Peak area,C18_F2_GA2_01_19405.mzML Peak area,C18_To-3_NIST-1_GC2_01_19432.mzML Peak area,RA2_QCmix_bench_no_exclusion_RA2_01_19396.mzML Peak area,
1,338.3416180503179,13.703668041237115,130,195,[M+NH4]+,,1,109,320.3079,3021114.1949999845,1447170.7229999853,2349562.3829999766,1543017.2369999953,2212176.867000002,1673081.9759999916,975067.1550000001,1820162.2140000109,2633889.6120000156,1182772.9380000064,3742495.0110000256,5510176.904999865,7132052.712000088,6644619.135000031,4525951.047000046,7566512.973000087,9685907.427000131,4118967.096000121,4143531.6960000787,4500834.029999943,1.1897272904999826E7,4451593.172999985,1.2627518168999888E7,3494392.716000009,3043886.4540000474,7532520.005999997,6429797.781000095,3818572.5509999567,4807830.05700005,7858506.060000099,3766600.2930000178,3877550.5259999945,4004697.1770000462,1.0318923749999885E7,3889506.977999954,5685177.726000008,1.0777125908999827E7,3301288.7249999563,3289918.152000041,3687986.673000007,2552206.6020000405,3230045.1630000216,3965491.4729999835,1.1790981420000061E7,5620484.219999952,8675696.945999969,5886874.872000079,7617776.367000034,7419886.047000061,8652853.36800014,2413395.030000006,1.0005328736999871E7,5800178.330999947,3627102.074999948,6196092.0990001075,6952697.757000063,5799938.676000003,8698770.297000043,5773956.566999893,4764948.771000048,1934677.2000000372,9339795.582000004,2767456.0740000503,2623400.301000042,1659779.7059999842,1908460.4610000022,2367943.409999995,4899143.1870000195,6272041.757999914,5653534.203000029,3754162.928999969,1.2516101949000062E7,4312446.2880000025,1993797.8969999885,4624096.721999989,6397790.390999923,2064484.9410000518,1.1703076679999737E7,4085838.1529999697,3417720.882000055,3119141.9699999816,1.025754727499982E7,2731118.805000029,2605434.0060000042,7666870.275000031,2212884.5489999996,2200313.7029999634,3928487.4959999556,6949744.295999976,4721995.698000035,1.1830136936999908E7,4072548.069000093,4987728.12000005,3051801.191999999,7846347.1410000315,5516457.263999949,1.444375545299991E7,
2,278.19070858999424,3.7863044329896893,,,,,,,,799777.5855000013,963822.152699999,812001.8624999993,1042798.1666999974,796228.3760999991,1110314.834999996,1172265.222899996,1255351.7207999986,785003.194500001,741768.7323000012,860421.5433000027,461344.45050000114,622823.1864000026,653515.0947000041,738019.1474999982,786535.8423000027,558757.3146000013,854871.8505000006,669893.5580999979,823525.5897000032,674332.461300001,870557.6159999978,768604.7297999992,657999.5987999961,651661.753500002,919215.4799999986,655170.1515000019,690492.9510000015,869328.2828999995,962853.1563000008,690265.0151999998,915572.6535000043,714427.7229000017,744717.2973,634180.6170000015,854708.2149000023,828105.7775999986,677763.8835000009,618240.9498000001,930326.9283000006,610993.1997000002,848058.9272999988,623779.6451999993,943355.4489000012,852308.4980999955,787297.8201000013,975620.6855999994,641354.6369999979,736697.2308000025,682178.146500002,525040.5549000008,1024647.516299997,708389.2062000028,674341.5060000023,784416.441599997,960740.9045999964,721458.7082999989,542094.3279000025,614218.897500001,648442.3944000009,739126.2542999986,903705.3018000008,692974.8647999964,605930.7270000033,411135.6677999987,664004.0915999996,854786.3685000023,700736.4899999963,904358.7302999996,868796.4008999972,475743.81210000184,1043126.4555000023,710703.2165999993,858209.9996999986,785275.2300000043,626209.7237999995,877866.0218999981,970244.6061000007,735118.3478999961,631549.7618999996,728440.5362999996,786287.8275000005,631942.9895999985,670273.547100003,493534.08630000066,196297.62329999957,987186.6999000006,881005.6602000038,715632.8691000011,729310.3752000016,1069340.3511000022,748738.4604000009,739726.3263000014,653182.3488000012,850501.4957999965,930010.1307000022,1.5051528284400001E7,
3,644.0110415418144,1.4849543548387099,2,,,,,,,146738.62080000076,16478.964600000225,19594.92599999995,23824.92119999975,42515.182799999704,24686.36339999934,21675.85559999925,25675.762500000972,38794.80360000068,38410.30380000021,80350.26090000026,0,0,0,56516.97000000016,0,34328.68500000051,97301.75969999957,0,97502.48760000002,44741.31750000034,56032.80599999928,38365.75259999932,17065.424999999945,53119.484400000096,0,0,44174.107200000246,54009.88289999985,0,0,38168.020799999504,16509.284999999956,40573.09080000008,25710.15600000037,0,0,108274.52760000004,59775.880499999854,106927.12560000012,0,103009.39079999976,0,0,91490.71499999953,99512.18399999972,17628.802800000376,161927.94000000012,15541.353299999837,81752.96460000008,77378.9507999994,92868.18900000036,17163.178200000235,16660.44930000009,0,35480.394000000524,68706.67740000023,0,0,0,118325.98379999958,50208.211199999256,29214.262799999917,35722.099200000055,90108.1259999997,168603.47610000012,0,0,0,110786.03309999987,0,186963.15149999998,171375.03360000002,0,77985.96210000027,34301.29110000028,17540.796600000947,159981.59819999948,29203.04640000016,0,0,87157.30590000005,128198.0283000007,0,0,93560.0324999992,0,0,0,186746.1833999993,80901.2234999999,0,0,0,0,19232.466000000728,0,
4,644.0113474569354,1.6209772916666667,2,,,,,,,123731.42099999994,33287.869799999884,19382.767800000103,46289.473799999694,21396.326099999776,24786.49320000014,0,54438.84000000098,59083.655100000804,112418.55720000043,0,56241.8238000003,0,0,0,0,0,0,43997.20500000023,0,0,60127.47600000001,53025.8903999996,17081.05799999995,0,0,131590.8855,0,0,64808.832000000446,38264.989199999945,58001.61659999979,0,0,0,129906.33420000039,0,116435.28599999983,0,0,0,0,25454.851800000255,0,173538.82949999982,0,61652.50559999944,132598.0881000005,97764.51420000012,0,164539.53869999977,43558.28999999951,0,15776.630999999943,0,0,35465.06850000018,0,0,0,0,42860.56319999912,28305.54179999968,0,23021.563499999942,0,0,93684.10619999976,0,178565.58449999956,0,148146.18030000012,114322.52070000088,125908.97309999971,0,0,76499.53799999958,0,28957.126800000155,0,0,17754.724799999807,0,85922.25809999934,0,66601.8954000002,0,140406.59609999973,212569.22159999982,0,42370.57439999939,62113.580999999904,0,0,38219.87519999969,0,209608.33020000017,
5,644.0110771461459,1.6156018604651166,2,,,,,,,21635.44800000047,32491.306199999784,19126.810500000258,23332.545599999754,20270.694899999788,24275.420399999144,0,27155.81699999993,19112.722200000102,0,79934.89590000019,0,112507.36020000056,0,0,0,65621.66790000006,0,17601.544800000807,0,0,0,30541.447199999944,16625.641499999958,0,198445.1499000001,0,0,0,0,0,0,71241.02189999941,0,69355.05480000062,0,46138.38000000038,0,0,0,53173.72980000028,65787.55200000046,0,0,0,65360.7852000001,141520.0863000005,17719.358099999812,0,0,0,0,57051.002100000274,32989.74419999962,228322.4739000004,0,25172.17200000037,252827.8472999999,34654.54679999927,0,0,17257.668000000653,0,0,22778.101500000124,0,35828.66280000036,0,0,0,205558.8872999997,0,0,68244.72840000036,0,0,0,0,0,154857.1650000002,0,93046.52099999994,102165.79559999928,0,50681.970899999666,22809.00030000068,0,0,0,120556.55760000058,66519.91710000038,0,207027.20519999985,0,0,0,194996.47859999965,
6,644.0110428529867,1.7563908000000001,4,,,,,,,82135.32390000028,33878.412299999894,0,22996.091400000503,36251.94299999968,0,22776.569999999752,79329.95130000002,19245.98339999979,19772.356500000747,0,0,0,0,0,0,0,0,0,0,0,54833.29319999985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29828.431200000166,0,0,0,0,0,0,0,0,0,34187.4330000005,0,0,0,0,0,0,0,0,29719.545000000282,0,0,0,0,24379.065000000333,19521.566999999948,20059.142400000266,0,0,0,0,32207.24249999973,0,0,88909.07039999985,0,0,29626.58789999962,0,0,0,0,0,33718.33769999991,94534.24920000011,0,0,37437.33689999989,0,0,21299.825999999954,66129.61679999983,0,15125.00220000008,0,36115.28309999973,0,
7,644.0110563716651,1.33914803030303,1,,,,,,,43084.81980000041,0,39836.27549999909,0,55308.50669999981,23880.109499999937,0,0,19515.959999999937,36571.96709999973,0,15707.849999999948,37375.069499999576,253670.3409000003,114805.98930000036,145506.3038999996,120515.4741000006,78008.71499999941,0,86642.04060000056,66910.09859999988,0,16078.507200000091,159232.8989999997,0,118932.78840000028,182445.80790000013,43566.5676000005,0,53332.875,0,0,39601.5255000002,0,0,101621.39279999994,117898.30859999938,0,205834.8651000001,356864.78099999984,186287.12819999992,43612.10220000024,0,19574.960999999956,82692.29250000042,16584.178500000362,255787.69559999998,0,27426.779999999766,0,0,156090.66210000007,35833.802099999906,74721.90060000014,0,79098.72360000027,85380.57539999994,0,76363.45560000018,36587.37600000078,91899.25019999941,0,14343.87329999927,14609.909999999956,0,40182.77730000053,106106.39010000021,155095.9506000002,58195.82039999953,39895.67010000046,0,113809.20749999967,0,84503.5593000003,61149.948300000164,153605.35230000003,0,43266.74700000008,0,74384.59859999943,120685.89030000023,37057.00049999915,69817.21020000042,30863.091599999883,51358.658999999876,0,91409.45340000045,0,79530.04169999933,0,79517.03790000024,0,47728.24680000068,0,167135.44350000052,47993.611500000254,216971.1566999996,
8,644.0111007615156,1.6809667647058824,4,,,,,,,42476.8985999999,25655.09760000038,38396.9993999997,62529.51299999864,20192.503499999948,0,23127.881999999947,51348.745499999866,19626.528600001064,157170.67080000052,25665.54899999949,0,0,0,0,0,18735.85349999995,0,0,0,0,67098.35999999978,0,17327.511600000234,30892.276799999865,0,0,0,64658.87639999949,0,0,0,15704.035800000342,0,58900.92270000065,0,61342.195199999915,25969.12019999964,0,0,0,57888.05339999961,0,0,0,0,0,17891.522999999954,0,0,20437.802999999778,0,30245.140799999157,0,66221.18730000005,0,0,0,0,0,0,0,0,14521.396499999963,40025.403600000405,48527.73000000025,0,0,0,0,0,0,0,37642.00350000055,0,0,0,0,0,0,0,18937.8222000001,0,0,25969.784399999102,72519.82019999942,0,0,0,66284.31809999964,22298.65649999959,0,0,0,0,147843.82050000026,0,
9,282.2792916681606,10.563207291666671,97,,,,,,,245190.24899999844,41463.32100000022,271790.6519999986,47637.113999999696,284048.33699999977,46127.177999999236,32671.95900000002,49521.97200000026,279394.4369999988,3208.479000000379,111826.15200000026,278008.0170000018,292094.9580000071,143649.74700000044,293327.6340000031,156685.28700000138,156902.13300000344,164296.0709999989,120090.52500000053,126358.3830000033,201108.51000000027,193772.89500000043,223310.00099999894,349870.1069999986,204316.99799999822,171771.43200000387,305810.69999999757,184152.413999999,152858.76000000053,182995.13700000063,194707.7369999993,258957.6990000034,200172.29099999875,258819.60899999776,319563.720000002,167959.79699999894,105286.71900000253,184748.1060000007,161950.71599999946,186499.94099999932,123964.998000003,169462.05000000435,323777.1959999974,130768.63199999795,181151.00700000135,267901.78799999907,193636.50900000118,200661.53400000161,193483.17300000205,227183.34899999804,121546.32900000186,311541.8460000051,167720.5919999992,280650.49199999555,187226.38199999713,206554.04099999648,307133.5889999992,63975.71399999852,341072.1059999999,252259.466999996,132036.07200000098,306842.8049999985,331501.4310000029,278260.3469999969,120160.85100000088,182150.04299999902,210351.6329999974,84099.11700000073,247204.98000000088,96499.79399999959,84671.36100000043,81269.52599999942,97015.78500000031,147216.73200000005,112843.51199999955,265387.6260000004,314960.0399999948,81441.36000000052,283944.7680000009,95016.21599999927,145398.69000000143,32501.501999999913,111674.45699999914,113775.34499999943,52315.196999999884,40711.310999999456,332321.68799999903,116628.6150000007,132834.1710000017,79603.8539999992,47719.856999999785,196438.38600000012,73139.4840000008,0,154122.64500000208,91548.8610000003,102510.43200000102,
10,644.0111601300057,1.26301393442623,1,,,,,,,21284.678699999775,0,40383.48179999972,0,21247.551600000115,133225.62780000013,0,53403.48750000094,19883.97449999995,0,108096.51899999929,0,0,106574.06880000074,0,0,0,198674.5134000003,0,27539.48160000003,0,0,0,0,0,165515.33699999956,96215.65410000039,123371.58989999988,40362.78000000021,191609.32110000026,15559.47899999996,164573.08590000094,63520.48830000048,0,42567.78300000023,244140.3035999993,28415.172600000027,0,0,150752.15130000006,0,0,15265.643100000332,99655.72590000092,0,27953.64180000028,0,0,0,0,65098.451400000326,32052.259200000328,17342.384400000094,68162.68680000039,52158.98699999968,87869.61810000063,60030.45599999997,0,115496.25150000025,61205.99370000033,199587.2727000002,0,0,0,22503.142499999925,20322.292200000607,87628.68540000047,100757.94569999943,143211.5304000001,210470.9514000003,46900.39499999948,218242.7139000005,112676.55150000002,193438.5333000002,115128.45720000021,0,78050.27639999997,100737.39090000022,104251.26930000042,24331.413299999553,181153.9302000002,35699.915999999896,0,84710.28270000074,102335.34180000013,0,17295.379800000235,19289.145600000254,0,156056.2431000005,0,0,117944.63159999944,81499.38389999978,0,213637.49309999976,121893.63660000046,
